1,01E+18;en;02-07-18 1:34;Twitter for Android;140;0;413;WorldCup;Tottenham Hotspur,Christian Eriksen;SpursOfficial,ChrisEriksen8;Mateus Gabriel de Oliveira;Goiânia, Brasil;204;235
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;80;0;5344;WorldCup;B/R Football;brfootball;dinie;Osaka-shi Kita, Osaka;346;390
1,01E+18;en;02-07-18 1:33;Twitter for Android;84;0;37;ESPRUS,RUS,ESP,WorldCup,WM2018;SPOX Redaktion;spox;Flowi;Westhausen, Deutschland;84;522
1,01E+18;en;02-07-18 1:33;Twitter for Android;140;0;1656;ESPRUS,WorldCup;FC Zenit in English;fczenit_en;Anand Saruk;Pune , India.;111;152
1,01E+18;en;02-07-18 1:33;Twitter for Android;66;0;9727;WorldCup;Troll Football;TrollFootball;Chelseaarmy45;Bekasi, Jawa Barat;194;37
1,01E+18;en;02-07-18 1:33;Twitter for Android;140;0;1;WorldCup,ESPRUS,CRODEN;Gbenga Ajao,DStv;ajaotimi,DStv;Gbenga Ajao;Nigeria;3833;98
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;88;0;1;WorldCup,lamesauce;Adam Stewart;AdamG_Stewart;David Stephen;vancouver;65;185
1,01E+18;en;02-07-18 1:33;Twitter Web Client;140;0;2;Lakers,LeBron,nba,Cavs;J Choo;jchooworld;OrneryPiglett;OB*SF;2624;1534
1,01E+18;en;02-07-18 1:33;Twitter for Android;115;0;290;WorldCup;Footy Jokes;Footy_JokesOG;Melinda Regita C;Semarang, Indonesia;350;190
1,01E+18;en;02-07-18 1:33;Twitter for Android;144;0;748;DEN,WorldCup;Premier League;premierleague;Alifand;Indonesia ;649;272
1,01E+18;en;02-07-18 1:33;Twitter Web Client;120;0;731;WorldCup;Squawka Football;Squawka;Brian Fogg;Yuma, AZ;879;615
1,01E+18;en;02-07-18 1:33;Twitter Web Client;140;0;75;EU,migrants,hatespeech,WorldCup;PICUM;PICUM_post;Ahmed Fathi;New York, NY;2911;996
1,01E+18;en;02-07-18 1:33;Twitter for Android;140;0;143;cro,den;Henry Winter;henrywinter;Nahrain Shinko;Sydney, Australia;78;408
